'id'|'parent_id'|'name'|'original'|'level'|'count'
'138693'|'138263'|'Продюсирование'|'Услуги продюсирования'|'2'|'228'
'138694'|'144931'|'Реклама в интернете'|'Размещение рекламы в интернете'|'3'|'7767'
'138695'|'138263'|'Услуги аромамаркетинга'|'Аромамаркетинг'|'2'|'241'
'138696'|'144935'|'Телефизионные каналы'|'Телеканалы'|'3'|'1298'
'138697'|'144935'|'Телерадиокомпании'|'Теле, радиокомпании'|'3'|'945'
'138698'|'138307'|'Продажа и аренда водно-спортивного транспорта'|'Водно-спортивный транспорт, техника'|'2'|'3630'
'138699'|'144940'|'Услуги проката спортивного инвентаря и техники'|'Прокат спортивного инвентаря, техники'|'3'|'58'
'138700'|'138307'|'Товары для дайвинга и плавания'|'Товары для подводного плавания'|'2'|'527'
'138701'|'138350'|'Блоки для строительства'|'Строительные блоки'|'2'|'7227'
'138702'|'144952'|'Продажа кирпича'|'Кирпич'|'3'|'7898'
'138703'|'144958'|'Материалы для огнезащиты'|'Огнезащитные материалы'|'3'|'1452'
'138704'|'138350'|'Пленки для тонировки и защиты стекол'|'Тонировочные, защитные плёнки для стёкол зданий, конструкций'|'2'|'465'
'138705'|'138350'|'Продажа цемента'|'Цемент'|'2'|'6551'
'138706'|'144993'|'Учет и инвентаризация'|'Техническая инвентаризация, учёт'|'3'|'139'
'138707'|'145006'|'Погребальные услуги для животных'|''|'3'|'185'
'138708'|'144607'|'Праздничные товары'|'Товары для праздника'|'2'|'788'
'138709'|'144607'|'Продажа надувной мебели и бассейнов'|'Надувная мебель, бассейны'|'2'|'2004'
'138710'|'145007'|'Продажа аксессуаров для ванной'|'Аксессуары для ванных комнат'|'3'|'942'
'138711'|'145016'|'Магазин сборных и радиоуправляемых моделей'|''|'3'|'598'
'138712'|'144607'|'Металлоискатели'|'Продажа металлоискателей'|'2'|'132'
'138713'|'145044'|'Продажа проездных билетов и транспортных карт'|'Проездные билеты, транспортные карты'|'3'|'127'
'138714'|'144608'|'Уборка мусора и снега'|'Вывоз мусора, снега'|'2'|'2293'
'138715'|'145049'|'Специальная техника'|''|'3'|'443'
'138716'|'144608'|'Ремонт железнодорожной техники'|'Ремонт железнодорожного оборудования, техники'|'2'|'312'
'138717'|'144608'|'Парковочные системы, возведение автопарковок'|'Продажа парковочных систем, строительство автопаркингов'|'2'|'169'
'138718'|'144608'|'Ремонт водного транспорта'|'Ремонт лодок, катеров'|'2'|'135'
'138719'|'144608'|'Транспортные организации'|'Пассажирские авто, электротранспортные предприятия'|'2'|'2401'
'138720'|'145083'|'Получение сертификатов'|'Сертификация'|'3'|'4937'
'138721'|'145083'|'Оформление лицензий'|'Лицензирование'|'3'|'2830'
'138722'|'144640'|'Детали на спецтехнику'|''|'3'|'1780'
'138723'|'144610'|'Обслуживание спецтехники'|'Ремонт спецтехники'|'2'|'5386'
'138724'|'144656'|'Администрации районов области'|'Администрации районов, округов региональной власти'|'3'|'1517'
'138725'|'145113'|'Кинозалы с аттракционами'|'Киноаттракционы'|'3'|'500'
'138726'|'145123'|'Продаша фрешей, горячих напитков, коктейлей'|''|'3'|'90'
'138727'|'137838'|'Продажа сим-карт оптом'|'Оптовая продажа сим-карт'|'2'|'45'
'138728'|'137838'|'Продажа и регистрация электронной подписи'|'Продажа электронных подписей'|'2'|'2208'
'138729'|'144738'|'Платежные системы онлайн'|''|'3'|'99'
'138730'|'137874'|'Электростанции и электроцентрали'|'Грэс, кэс, тэц'|'2'|'1186'
'138731'|'137905'|'Реставрация и ремонт музыкальных инструментов'|'Ремонт, реставрация музыкальных инструментов'|'2'|'189'
'138732'|'137975'|'Оборудование для массажа'|'Массажное оборудование, приборы'|'2'|'3223'
'138733'|'137975'|'Консультации и услуги хирурга'|'Услуги хирурга'|'2'|'1967'
'138734'|'137975'|'Боди-арт'|'Услуги росписи по телу'|'2'|'466'
'138735'|'144851'|'Прием металлолома'|'Приём, переработка металлолома'|'3'|'223'
'138736'|'144604'|'Оборудование для окраски'|'Окрасочное оборудование'|'2'|'373'
'138737'|'144604'|'Почтовое оборудование'|'Почтообрабатывающее оборудование'|'2'|'32'
'138738'|'144604'|'Техника для бассейнов'|'Оборудование для бассейнов'|'2'|'777'
'138739'|'145114'|'Оборудование для пластмассопереработки'|'Оборудование для производства, переработки пластмасс'|'3'|'165'
'138740'|'187113'|'Подготовка по охране труда'|'Обучение по охране труда'|'2'|'2885'
'138741'|'138216'|'Устройства для пломбировки'|'Пломбировочные устройства'|'2'|'538'
'138742'|'138263'|'Фотокниги'|'Изготовление фотокниг'|'2'|'1470'
'138743'|'138307'|'Центры для занятий сквошем'|'Сквош-клубы, корты'|'2'|'1'
'138744'|'145116'|'Оружие для охотников'|'Охотничьи принадлежности, оружие, аксессуары'|'3'|'32'
'138745'|'138307'|'Центры для авто-, картинг- и мотолюбителей'|''|'2'|'12'
'138746'|'138307'|'Клубы яхтенного спорта'|'Яхт-клубы'|'2'|'302'
'138747'|'138350'|'Покрытия из резины'|'Резиновые покрытия, комплектующие'|'2'|'810'
'138748'|'138350'|'Противопожарные конструкции'|''|'2'|'58'
'138749'|'138350'|'Листы стекломагнезитовые'|'Стекломагнезитовые листы'|'2'|'361'
'138750'|'138399'|'Возведение спортивных сооружений, площадок'|'Строительство спортивных сооружений, площадок'|'2'|'753'
'138751'|'138399'|'Распиловка'|'Услуга распиловки'|'2'|'893'
'138752'|'138399'|'Монтаж и обслуживание внутренних интежерных систем'|'Монтаж и ремонт внутренних систем отопления, водоснабжения, канализации'|'2'|'3564'
'138753'|'144983'|'Услуги сварщика'|''|'3'|'3078'
'138754'|'138476'|'Вызов ветеринара'|'Выездные ветеринарные службы'|'2'|'769'
'138755'|'138476'|'Ветеринарные исследования'|'Ветеринарные лаборатории'|'2'|'507'
'138756'|'145004'|'Товары для домашних питомцев'|'Зоотовары, домашние питомцы'|'3'|'503'
'138757'|'144607'|'Букеты из мягких игрушек'|'Сувенирные букеты'|'2'|'211'
'138758'|'144607'|'Продажа ножей'|'Ножи'|'2'|'546'
'138759'|'145018'|'Торговые комплексы, центры'|'Торговые центры, универсальные магазины'|'3'|'531'
'138760'|'145122'|'Троллейбусное депо'|'Троллейбусные депо, парки'|'3'|'4'
'138761'|'144608'|'Специальная техника и вспомогательные устройства'|'Спецтехника, вспомогательные устройства'|'2'|'62'
'138762'|'144608'|'Автотранспортные станции, вокзалы'|'Автовокзалы, автостанции'|'2'|'18'
'138763'|'144608'|'Спецтехника на заказ'|'Заказ спецтехники'|'2'|'13125'
